.feature,sample,expression
LOC105243961,GSM2545380,34
LOC105243961,GSM2545341,23
LOC105243961,GSM2545346,20
LOC105243961,GSM2545347,31
Gm6374,GSM2545337,0
Gm6374,GSM2545338,0
Gm6374,GSM2545348,0
Gm6374,GSM2545353,1
Gm6374,GSM2545343,0
Gm6374,GSM2545349,1
Gm6374,GSM2545354,0
Gm6374,GSM2545336,0
Gm6374,GSM2545342,0
Gm6374,GSM2545351,0
Gm6374,GSM2545380,1
Gm6374,GSM2545341,0
Gm6374,GSM2545346,0
Gm6374,GSM2545347,0
Gm35498,GSM2545337,0
Gm35498,GSM2545338,0
Gm35498,GSM2545348,1
Gm35498,GSM2545353,1
Gm35498,GSM2545343,0
Gm35498,GSM2545349,1
Gm35498,GSM2545354,0
Gm35498,GSM2545336,2
Gm35498,GSM2545342,0
Gm35498,GSM2545351,0
Gm35498,GSM2545380,0
Gm35498,GSM2545341,0
Gm35498,GSM2545346,0
Gm35498,GSM2545347,0
Snora75,GSM2545337,11
Snora75,GSM2545338,11
Snora75,GSM2545348,13
Snora75,GSM2545353,13
Snora75,GSM2545343,13
Snora75,GSM2545349,4
Snora75,GSM2545354,8
Snora75,GSM2545336,8
Snora75,GSM2545342,15
Snora75,GSM2545351,9
Snora75,GSM2545380,7
Snora75,GSM2545341,11
Snora75,GSM2545346,11
Snora75,GSM2545347,8
Gm32758,GSM2545337,1
Gm32758,GSM2545338,1
Gm32758,GSM2545348,0
Gm32758,GSM2545353,2
Gm32758,GSM2545343,0
Gm32758,GSM2545349,0
Gm32758,GSM2545354,0
Gm32758,GSM2545336,0
Gm32758,GSM2545342,0
Gm32758,GSM2545351,1
Gm32758,GSM2545380,1
Gm32758,GSM2545341,0
Gm32758,GSM2545346,0
Gm32758,GSM2545347,0
Nppc,GSM2545337,120
Nppc,GSM2545338,113
Nppc,GSM2545348,137
Nppc,GSM2545353,188
Nppc,GSM2545343,137
Nppc,GSM2545349,138
Nppc,GSM2545354,147
Nppc,GSM2545336,217
Nppc,GSM2545342,132
Nppc,GSM2545351,166
Nppc,GSM2545380,182
Nppc,GSM2545341,129
Nppc,GSM2545346,133
Nppc,GSM2545347,166
Efhd1,GSM2545337,1485
Efhd1,GSM2545338,1396
Efhd1,GSM2545348,1852
Efhd1,GSM2545353,1861
Efhd1,GSM2545343,1983
Efhd1,GSM2545349,1773
Efhd1,GSM2545354,1627
Efhd1,GSM2545336,1670
Efhd1,GSM2545342,1073
Efhd1,GSM2545351,1363
Efhd1,GSM2545380,1492
Efhd1,GSM2545341,961
Efhd1,GSM2545346,1297
Efhd1,GSM2545347,1371
Dgkd,GSM2545337,10155
Dgkd,GSM2545338,9510
Dgkd,GSM2545348,11236
Dgkd,GSM2545353,9971
Dgkd,GSM2545343,12545
Dgkd,GSM2545349,10201
Dgkd,GSM2545354,9690
Dgkd,GSM2545336,9867
Dgkd,GSM2545342,8498
Dgkd,GSM2545351,9596
Dgkd,GSM2545380,11067
Dgkd,GSM2545341,11184
Dgkd,GSM2545346,9337
Dgkd,GSM2545347,9715
Dnajb3,GSM2545337,26
Dnajb3,GSM2545338,29
Dnajb3,GSM2545348,31
Dnajb3,GSM2545353,35
Dnajb3,GSM2545343,33
Dnajb3,GSM2545349,27
Dnajb3,GSM2545354,38
Dnajb3,GSM2545336,36
Dnajb3,GSM2545342,21
Dnajb3,GSM2545351,40
Dnajb3,GSM2545380,44
Dnajb3,GSM2545341,25
Dnajb3,GSM2545346,30
Dnajb3,GSM2545347,25
Arl4c,GSM2545337,3852
Arl4c,GSM2545338,3711
Arl4c,GSM2545348,4478
Arl4c,GSM2545353,5265
Arl4c,GSM2545343,4574
Arl4c,GSM2545349,4756
Arl4c,GSM2545354,4740
Arl4c,GSM2545336,5654
Arl4c,GSM2545342,4973
Arl4c,GSM2545351,5046
Arl4c,GSM2545380,5522
Arl4c,GSM2545341,4165
Arl4c,GSM2545346,4639
Arl4c,GSM2545347,5214
Gbx2,GSM2545337,2
Gbx2,GSM2545338,3
Gbx2,GSM2545348,2
Gbx2,GSM2545353,1
Gbx2,GSM2545343,2
Gbx2,GSM2545349,1
Gbx2,GSM2545354,7
Gbx2,GSM2545336,7
Gbx2,GSM2545342,1
Gbx2,GSM2545351,3
Gbx2,GSM2545380,0
Gbx2,GSM2545341,5
Gbx2,GSM2545346,1
Gbx2,GSM2545347,8
Ackr3,GSM2545337,245
Ackr3,GSM2545338,272
Ackr3,GSM2545348,335
Ackr3,GSM2545353,303
Ackr3,GSM2545343,392
Ackr3,GSM2545349,293
Ackr3,GSM2545354,291
Ackr3,GSM2545336,362
Ackr3,GSM2545342,192
Ackr3,GSM2545351,336
Ackr3,GSM2545380,336
Ackr3,GSM2545341,214
Ackr3,GSM2545346,287
Ackr3,GSM2545347,300
Gm35242,GSM2545337,0
Gm35242,GSM2545338,0
Gm35242,GSM2545348,0
Gm35242,GSM2545353,1
Gm35242,GSM2545343,0
Gm35242,GSM2545349,0
Gm35242,GSM2545354,1
Gm35242,GSM2545336,0
Gm35242,GSM2545342,0
Gm35242,GSM2545351,1
Gm35242,GSM2545380,0
Gm35242,GSM2545341,0
Gm35242,GSM2545346,0
Gm35242,GSM2545347,0
Scly,GSM2545337,563
Scly,GSM2545338,508
Scly,GSM2545348,711
Scly,GSM2545353,783
Scly,GSM2545343,665
Scly,GSM2545349,634
Scly,GSM2545354,671
Scly,GSM2545336,554
Scly,GSM2545342,467
Scly,GSM2545351,525
Scly,GSM2545380,615
Scly,GSM2545341,406
Scly,GSM2545346,475
Scly,GSM2545347,592
Per2,GSM2545337,3296
Per2,GSM2545338,3328
Per2,GSM2545348,2950
Per2,GSM2545353,3813
Per2,GSM2545343,3744
Per2,GSM2545349,3235
Per2,GSM2545354,3843
Per2,GSM2545336,2370
Per2,GSM2545342,1976
Per2,GSM2545351,2191
Per2,GSM2545380,2458
Per2,GSM2545341,2860
Per2,GSM2545346,2266
Per2,GSM2545347,2501
Rnpepl1,GSM2545337,930
Rnpepl1,GSM2545338,1008
Rnpepl1,GSM2545348,1403
Rnpepl1,GSM2545353,1407
Rnpepl1,GSM2545343,1460
Rnpepl1,GSM2545349,1326
Rnpepl1,GSM2545354,1177
Rnpepl1,GSM2545336,1323
Rnpepl1,GSM2545342,1016
Rnpepl1,GSM2545351,1271
Rnpepl1,GSM2545380,1439
Rnpepl1,GSM2545341,1303
Rnpepl1,GSM2545346,1009
Rnpepl1,GSM2545347,1274
2310007B03Rik,GSM2545337,3
2310007B03Rik,GSM2545338,2
2310007B03Rik,GSM2545348,0
2310007B03Rik,GSM2545353,3
2310007B03Rik,GSM2545343,1
2310007B03Rik,GSM2545349,4
2310007B03Rik,GSM2545354,0
2310007B03Rik,GSM2545336,2
2310007B03Rik,GSM2545342,2
2310007B03Rik,GSM2545351,1
2310007B03Rik,GSM2545380,2
2310007B03Rik,GSM2545341,2
2310007B03Rik,GSM2545346,3
2310007B03Rik,GSM2545347,3
Ing5,GSM2545337,461
Ing5,GSM2545338,427
Ing5,GSM2545348,566
Ing5,GSM2545353,594
Ing5,GSM2545343,502
Ing5,GSM2545349,527
Ing5,GSM2545354,478
